"","old_leaf","root","young_leaf"
"1",921,58,848
"2",0,710,2
"3",229,6673,684
"4",48,75,93
"5",147,36,182
"6",56,71,6
"7",0,1179,0
"8",0,886,3
"9",20,51,51
"10",0,189,0
"11",5520,0,0
"12",0,195,0
"13",76,17,203
"14",2,200,4
"15",2,123,28
"16",145,11,94
"17",291,13,101
"18",49,422,273
"19",0,176,0
"20",30,86,44
"21",1145,2,914
"22",252,352,662
"23",878,28,33
"24",389,36,860
"25",29,1350,38
"26",35,66,31
"27",27,975,53
"28",591,103,569
"29",92,47,57
"30",590,3,26
"31",0,311,0
"32",9,1710,6
"33",220,0,78
"34",791,140,2127
"35",28,2833,67
"36",41,59,124
"37",11,0,169
"38",23,5,550
"39",542,6,0
"40",30,281,44
"41",403,47,25
"42",22,1,567
"43",4,4444,9
"44",0,3317,0
"45",215,6,217
"46",35,524,25
"47",3,437,18
"48",46,8,90
"49",64,276,328
"50",968,0,5
"51",130,10,36
"52",23,36,180
"53",3,241,10
"54",47,677,92
"55",3446,0,0
"56",226,236,128
"57",79,13957,295
"58",38294,28745,48288
"59",11,9,747
"60",615,6,7
"61",156,15,16
"62",18,2842,8
"63",74450,172,18947
"64",236,145,195
"65",42,2712,34
"66",25,677,3
"67",0,0,101
"68",0,148,0
"69",21,2,94
"70",6,887,11
"71",209,77,152
"72",12,15,265
"73",92,35,21
"74",13,20,107
"75",1083,1054,1598
"76",71,569,200
"77",90,2951,91
"78",0,151,15
"79",8,979,192
"80",2123,47,53
"81",0,0,110
"82",12903,0,1671
"83",6,266,12
"84",2,0,126
"85",1,276,23
"86",5,764,22
"87",219,3,0
"88",155,5,110
"89",821,5811,1800
"90",0,123,4
"91",16,1021,172
"92",81,167,44
"93",45,276,50
"94",1148,33,2146
"95",545,202,104
"96",2300,44,123
"97",885,11,904
"98",63,266,95
"99",19,574,0
"100",0,199,0
"101",4,0,170
"102",762,216,21
"103",229,2,15
"104",0,655,0
"105",178,29,259
"106",172,88,175
"107",270,0,3
"108",97,57,13
"109",132,13,170
"110",241,3,18
"111",316,119,545
"112",571,1472,3328
"113",1,353,9
"114",3,1353,32
"115",77,29,32
"116",23,84,106
"117",223,0,8
"118",2,324,7
"119",2410,325,5189
"120",29,853,47
"121",98,56,26
"122",238,110,339
"123",131,23,0
"124",0,128,3
"125",6152,63,634
"126",1,127,3
"127",390,15,31
"128",313,126,102
"129",0,112,5
"130",49,3938,145
"131",80,1784,59
"132",4,738,2
"133",8,199,6
"134",204,19075,393
"135",272,93,462
"136",3178,50,1102
"137",112,48,253
"138",879,2041,99
"139",1,102,0
"140",11,64,108
"141",124,0,7
