"plant_species","plant_genus"
"sp","Wehauria"
"sp","Guzmania"
"sp","Aechmea"
"sp","Vriesea_Wehauria"
"sp3433","Aechmea"
"sp3436","Xylobium"
"sp3437","Xylobium"
"sp1","Prosthechea"
"sp3441","Syngonium"
"sp3443","Anthurium"
"dubia","Monstera"
"ernestii","Anthurium"
"sp3446","Anthurium"
"sp3448","Vriesea"
"sp3449","Catopsis"
"sp3450","Anthurium"
"sp3451","Philodendron"
"sp","Sphaeradenia"
"gigantea","Wehauria"
"sp3463","Philodendron"
"sp3464","Guzmania"
"sp","Paradymonia"
"sp3470","Guzmania"
"sp1","Encyclia"
"desvauxiana","Maxillaria"
"sp3414","Stenospermation"
"sp1","Catopsis"
"Anthurium ernestii","Anthurium"
"sp3457","Sphaeradenia"
"sp4912","Monstera"
"sp4922","Elleanthus"
"sp4923","Sobralia"
"sp","Anthurium"
"sp4928","Asplundia"
"sp4929","Elaphaglossum"
"sp4933","Elleanthus"
"sp3480","Bilbergia"
"uncata","Chritensonella "
"sp","Anthurium "
"sp2","Camaridium"
"sp1","Camaridium"
"sp","Stelis"
"Maxilaria notylioglossa","Maxilaria"
"Elaphoglossum sp1","Elaphoglossum"
"Maxilaria sp2","Maxilaria"
"Barbosella cucullata","Barbosella"
"Pecluma sp1","Pecluma"
"Stelis sp10","Stelis"
"Stelis sp4","Stelis"
"Elleanthus sp1","Elleanthus"
"Elleanthus sp2","Elleanthus"
"Acronia sp1","Acronia"
"Acronia sp3","Acronia"
"Acronia sp4","Acronia"
"Pleurothallis sp1","Pleurothallis"
"Racinea sp2","Racinea"
"Tillandsia sp4","Tillandsia"
"Tillandsia sp7","Tillandsia"
"Tillandsia sp9","Tillandsia"
"Mezobromelia sp1","Mezobromelia"
"Mezobromelia sp2","Mezobromelia"
"Guzmania sp7","Guzmania"
"Disterigma sp1","Disterigma"
"Peperomia sp2","Peperomia"
"Sphyrospermum sp1","Sphyrospermum"
"Elaphoglossum sp7","Elaphoglossum"
"Racinea sp3","Racinea"
"Guzmania sp5","Guzmania"
"Guzmania sp3","Guzmania"
"Racinea sp1","Racinea"
"Elaphoglossum sp3","Elaphoglossum"
"Demosthenesia sp1","Demosthenesia"
"Beilschmiedia latifolia","Beilschmiedia"
"Mezobromelia sp3","Mezobromelia"
"Anthurium cf. breviscapum","Anthurium"
"Pitcairnia arcuata","Pitcairnia"
"Anthurium scandens","Anthurium"
"Anthurium cf. ernestii","Anthurium"
"Peperomia eburnea","Peperomia"
"Peperomia cf. cachabiana","Peperomia"
"Racinaea spiculosa","Racinea"
"Catopsis sessiliflora","Catopsis"
"Sphyrospermum buxifolium","Sphyrospermum"
"Tillandsia buseri","Tillandsia"
"Sphyrospermum dissimile","Sphyrospermum"
"Clusia sp.CC1","Clusia"
"Stenospermation cf. densiovulatum","Stenospermation"
"Notopleura epiphytica","Notopleura"
"Anthurium ovatifolium","Anthurium"
"Cybianthus magnus","Cybianthus"
"Blakea sp.CC1","Blakea"
"Anthurium obtusum","Anthurium"
"Blakea sp.CC2","Blakea"
"Sciodaphyllum lancifoliolatum","Sciodaphyllum"
"Clusia cf. octandra","Clusia"
"Guzmania cf. brasiliensis","Guzmania cf."
"Tillandsia delicatula","Tillandsia"
"Guzmania subglobosa","Guzmania"
"Tillandsia sp2","Tillandsia"
"Aechmaea sp1","Aechmaea"
"Guzmania sp2","Guzmania"
"Tillandsia sp1","Tillandsia"
"Myoxanthus sp1","Myoxanthus"
"Camaridium sp1","Camaridium"
"Ornithidium sp2","Ornithidium"
"Stelis sp2","Stelis"
"Crocodeilanthe sp1","Crocodeilanthe"
"Racinaea sp1","Racinaea"
"Jacquiniella sp1","Jacquiniella"
"Maxillaria sp2","Maxillaria"
"Stelis sp3","Stelis"
"Maxillaria sp1","Maxillaria"
