plant_genus;Morphologie;Capacité_Nid;Source
Acronia;Tiges fines / Feuilles;Très Faible;Luer (2005)
Aechmea;Rosette (Réservoir);Très Haute;Benzing (2000)
Anthurium;Rosette / Grimpante;Haute;Madison (1977)
Asplundia;Rosette dense;Très Haute;Harling (1958)
Beilschmiedia;Arborescent;Faible;WFO (2024)
Blakea;Arbuste ligneux;Moyenne;Almeda (2001)
Campyloneurum;Rhizomateuse;Moyenne;Ferns of World
Catopsis;Rosette (Réservoir);Très Haute;Benzing (2000)
Clusia;Hémi-épiphyte ligneux;Moyenne;Lüttge (2007)
Cybianthus;Arbustif;Faible;WFO (2024)
Demosthenesia;Arbuste pendant;Faible;Luteyn (1995)
Dichaea;Pendante (Distique);Très Faible;POWO (2024)
Elaphoglossum;Rosette de frondes;Haute;Moran (1995)
Elleanthus;Tiges érigées;Faible;WFO (2024)
Encyclia;Pseudo-bulbes;Faible;POWO (2024)
Epidendrum;Tiges / Pseudo-bulbes;Faible;WFO (2024)
Guzmania;Rosette (Réservoir);Très Haute;Benzing (2000)
Hedyosmum;Arbuste ligneux;Faible;WFO (2024)
Hillia;Arbuste succulent;Faible;Taylor (1994)
Hoffmannia;Herbacée / Arbuste;Faible;WFO (2024)
Killipiodendron;Liane / Arbuste;Faible;WFO (2024)
Macleania;Arbuste (Ligneux);Moyenne;Luteyn (1995)
Maxillaria;Pseudo-bulbes;Faible;WFO (2024)
Mezobromelia;Rosette (Réservoir);Très Haute;POWO (2024)
Monstera;Grimpante;Moyenne;Madison (1977)
Notopleura;Herbacée succulente;Faible;Taylor (2001)
Paradrymonia;Rosette / Rampante;Moyenne;WFO (2024)
Peperomia;Succulente rampante;Très Faible;Peperomia.net
Philodendron;Grimpante / Rosette;Haute;Croat (1997)
Pitcairnia;Rosette dense;Moyenne;WFO (2024)
Pleurothallis;Tiges fines;Très Faible;Luer (1986)
Polybotrya;Grimpante (Fougère);Moyenne;Moran (1987)
Prosthechea;Pseudo-bulbes;Faible;POWO (2024)
Psiguria;Liane grimpante;Très Faible;WFO (2024)
Psychotria;Arbuste;Faible;WFO (2024)
Racinaea;Rosette (Petite);Moyenne;Benzing (2000)
Scherbertiella;Arbuste;Faible;WFO (2024)
Sciodaphyllum;Arborescent;Moyenne;POWO (2024)
Scaphyglottis;Pseudo-bulbes;Faible;WFO (2024)
Sobralia;Tiges cannes;Faible;WFO (2024)
Sphaeradenia;Rosette massive;Très Haute;Harling (1958)
Sphyrospermum;Brindilles pendantes;Très Faible;Luteyn (1995)
Stenospermation;Rosette / Grimpante;Moyenne;Croat (1997)
Stelis;Tiges fines;Très Faible;Luer (2009)
Syngonium;Grimpante;Moyenne;Croat (1981)
Tillandsia;Rosette / Atmosphérique;Moyenne;Benzing (2000)
Topobea;Arbuste ligneux;Moyenne;WFO (2024)
Vriesea;Rosette (Réservoir);Très Haute;Benzing (2000)
Vriesea_Wehauria;Rosette (Réservoir);Très Haute;Benzing (2000)
Wehauria;Rosette (Réservoir);Très Haute;Werauhia syn.
