Incidence;REC-ID;EXPERT-ID;VersionDateDDMMYY;XLS-Row-No;LOT-SampleCode;T_RECORDS_CollectorSampleCode;Genus;SpecificEpithet;Species;TAXON-ID;Authority;Males;Females;Unsexed;AbundanceQualifier;Abundance;ReproductiveStatus;ID_Doubtful;Remarks;SubFamily;Family;Order;Class;Phylum;Kingdom;Determined_By;Determined_Date;T_RECORDS_RecDate;LOT-Project;TMP_T_RECORDS-FlatFile_SamplePrefix;TMP_T_RECORDS-FlatFile_ProtocolNumber;TMP_T_RECORDS-FlatFile_SampleNumber;TMP_T_RECORDS-FlatFile_Old-SampleCode;METH-ID;Method;TMP_T_RECORDS-FlatFile_SampleDetails;TMP_T_RECORDS-FlatFile_MainSample;TMP_T_RECORDS-FlatFile_MainSampleCode;SubsampleLetter;SubSampleType;LOT-SampleParent;TreeZone;BranchColor;Horizontal Distance;AZ;HAGL;HD (Corrected);X;Y;Z Height above ground (m);Diameter(cm);SampleOrientation;Plot;TREE-PART;EPIPHYTE-TYPE;CollectedOutsideTheTree;GRP-ID;SubprojectName;DateStarted;DateEnded;DateRange;Replicate;SampleParticipant;CollectedBy;T_LOT-SUB-SAMPLES_CollectorSampleCode;Site;LatLongTree;ElevationTree;ElevationSample;SampleNotes;PERMIT-TYPE;UnitOfMeasurement-ES;Condicion;Exported;Deposited;T_LOT-SUB-SAMPLES_RecBy;T_LOT-SUB-SAMPLES_RecDate;T_LOT-SUB-SAMPLES_UpdBy;T_LOT-SUB-SAMPLES_UpdDate;LatitudeDec;LongitudeDec;Ellipsoidal height;SubSampleCode;SubProtocolNumber;SubProtocolName;BranchColor-ID;LOT-SamplesCodeColor;LOT-SamplesCodeColorOrientation;ParentSampleNumber;SampleParent;FlagUsedAsRef;Protocol
1;"ValenzuelL;12/09/2024#00221";92;9/12/24;221;LOT02-18689/O;;Acronia;bivalvis;Acronia bivalvis;20;(Lindl.) Luer;;;;;2;;;Observación, 2023051911-49-26;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Lindl.) Luer;;1/18/26 14:05;LOT02;LOT02;18;89;;45;Epiphyte collection;;0;LOT02-18689;O;Observation;LOT02-18689;6;;;;;;;;;;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00223";92;9/12/24;223;LOT02-18423/O;;Acronia;bivalvis;Acronia bivalvis;20;(Lindl.) Luer;;;;;1;;;Observación, 2023051911-49-26;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Lindl.) Luer;;1/18/26 14:05;LOT02;LOT02;18;23;;45;Epiphyte collection;;0;LOT02-18423;O;Observation;LOT02-18423;4;;;;;;0;0;0;0;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00222";92;9/12/24;222;LOT02-18596/O;;Acronia;bivalvis;Acronia bivalvis;20;(Lindl.) Luer;;;;;1;;;Observación, 2023051911-49-26;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Lindl.) Luer;;1/18/26 14:05;LOT02;LOT02;18;96;;45;Epiphyte collection;;0;LOT02-18596;O;Observation;LOT02-18596;5;;;;;;;;;;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00206";92;9/12/24;206;LOT02-456146/H;44009;Acronia;bivalvis;Acronia bivalvis;20;(Lindl.) Luer;;;;;1;;;Herborizada, 2023051911-49-26;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Lindl.) Luer;;1/18/26 14:05;LOT02;LOT02;45;146;LOT02-450146/H;45;Epiphyte collection;Epiphyte collection 146;0;;H;Epiphyte collection HOXA;LOT02-16626;6;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG44009;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;0;-1;51;;;;;;;;;;;LOT02-450183;;0;;;
1;"ValenzuelL;12/09/2024#00501";92;9/12/24;501;LOT02-45542/P;43918;Acronia;bivalvis;Acronia bivalvis;20;(Lindl.) Luer;;;;;1;;;Herborizada, 2023051911-49-26;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Lindl.) Luer;;1/18/26 14:05;LOT02;LOT02;45;42;LOT02-45042/P;45;Epiphyte collection;Epiphyte collection 42;0;;P;Epiphyte collection MHN-P;LOT02-18563;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43918;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;-1;0;51;;;;;;;;;;;LOT02-45052;;0;;;
1;"ValenzuelL;12/09/2024#00500";92;9/12/24;500;LOT02-45641/H;43918;Acronia;bivalvis;Acronia bivalvis;20;(Lindl.) Luer;;;;;1;;;Herborizada, 2023051911-49-26;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Lindl.) Luer;;1/18/26 14:05;LOT02;LOT02;45;41;LOT02-45041/H;45;Epiphyte collection;Epiphyte collection 41;0;;H;Epiphyte collection HOXA;LOT02-18653;6;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43918;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;0;-1;51;;;;;;;;;;;LOT02-45051;;0;;;
1;"ValenzuelL;12/09/2024#00220";92;9/12/24;220;LOT02-21510/O;;Acronia;bivalvis;Acronia bivalvis;20;(Lindl.) Luer;;;;;1;;;Observación, 2023051911-49-26;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Lindl.) Luer;;1/18/26 14:05;LOT02;LOT02;21;10;;45;Epiphyte collection;;0;LOT02-21510;O;Observation;LOT02-21510;5;;;;;;0;0;0;0;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00231";92;9/12/24;231;LOT02-18411/O;;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Observación, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;18;11;;45;Epiphyte collection;;0;LOT02-18411;O;Observation;LOT02-18411;4;;;;;;0;0;0;0;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00232";92;9/12/24;232;LOT02-18521/O;;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Observación, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;18;21;;45;Epiphyte collection;;0;LOT02-18521;O;Observation;LOT02-18521;5;;;;;;0;0;0;0;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00235";92;9/12/24;235;LOT02-18657/O;;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Observación, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;18;57;;45;Epiphyte collection;;0;LOT02-18657;O;Observation;LOT02-18657;6;;;;;;0;0;0;0;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
