LOT-SampleCode;TreeZone
LOT02-18689;6
LOT02-18423;4
LOT02-18596;5
LOT02-456146;6
LOT02-45542;5
LOT02-45641;6
LOT02-21510;5
LOT02-18411;4
LOT02-18521;5
LOT02-18657;6
LOT02-18654;6
LOT02-18247;2
LOT02-213117;3
LOT02-18596;5
LOT02-45539;5
LOT02-45539;5
LOT02-455148;5
LOT02-455148;5
LOT02-18513;5
LOT02-455113;5
LOT02-45538;5
LOT02-45537;5
LOT02-18689;6
LOT02-455110;5
LOT01-34731;0
LOT01-3473;0
LOT01-34691;0
LOT01-34331;0
LOT01-34332;0
LOT01-34761;0
LOT01-34402;0
LOT01-34401;0
LOT03-455113;5
LOT03-45598;5
LOT03-45598;5
LOT03-45598;5
LOT03-455112;5
LOT03-455112;5
LOT03-455113;5
LOT03-455113;5
LOT03-455112;5
LOT01-34322;0
LOT01-34321;0
LOT01-34012;0
LOT01-34011;0
LOT03-21649;6
LOT03-21649;6
LOT03-210146;0
LOT03-210146;0
LOT03-210146;0
LOT03-45574;5
LOT03-456361;6
LOT03-455345;5
LOT03-456398;6
LOT03-456367;6
LOT02-18577;5
LOT02-18478;4
LOT02-18462;4
LOT02-213118;3
LOT02-213101;3
LOT02-213103;3
LOT02-213116;3
LOT02-21368;3
LOT02-45440;4
LOT02-214136;4
LOT02-21514;5
LOT02-45456;4
LOT02-45440;4
LOT02-455109;5
LOT02-453188;3
LOT02-453188;3
LOT01-34551;0
LOT03-45559;5
LOT03-45557;5
LOT03-45414;4
LOT03-45430;4
LOT03-45464;4
LOT03-45464;4
LOT03-45436;4
LOT03-45559;5
LOT03-455331;5
LOT03-45406;4
LOT03-455379;5
LOT03-45406;4
LOT03-455353;5
LOT03-45570;5
LOT03-455133;5
LOT03-455133;5
LOT03-455133;5
LOT03-455323;5
LOT03-455325;5
LOT03-45438;4
LOT03-45406;4
LOT03-21452;4
LOT01-34391;0
LOT01-34392;0
LOT03-212251;2
LOT03-212251;2
LOT03-21235;2
LOT03-21233;2
LOT03-21233;2
LOT03-21235;2
LOT03-45594;5
LOT03-45594;5
LOT03-21440;4
LOT03-21440;4
LOT01-34752;0
LOT01-34751;0
LOT01-34461;0
LOT01-34462;0
LOT01-34451;0
LOT01-34202;0
LOT01-34201;0
LOT01-34452;0
LOT01-3445;0
LOT01-34771;0
LOT01-34471;0
LOT01-34772;0
LOT01-34232;0
LOT01-34231;0
LOT02-213131;3
LOT02-213130;3
LOT02-452142;2
LOT02-452142;2
LOT02-452142;2
LOT02-452142;2
LOT01-34432;0
LOT01-34431;0
LOT03-455108;5
LOT03-455108;5
LOT03-215144;5
LOT03-214223;4
LOT03-45493;4
LOT03-216205;6
LOT03-45493;4
LOT03-216201;6
LOT03-455108;5
LOT03-456366;6
LOT03-214255;4
LOT03-215238;5
LOT03-214140;4
LOT03-214140;4
LOT03-21476;4
LOT03-214140;4
LOT03-214255;4
LOT03-215235;5
LOT03-215202;5
LOT03-21457;4
LOT03-215145;5
LOT03-456122;6
LOT03-456122;6
LOT03-21636;6
LOT03-456122;6
LOT03-456408;6
LOT03-456381;6
LOT03-454106;4
LOT03-454106;4
LOT03-455338;5
LOT01-34531;0
LOT01-34501;0
LOT02-452182;2
LOT02-21367;3
LOT02-455105;5
LOT01-34561;0
LOT01-34562;0
LOT02-18556;5
LOT02-18685;6
LOT02-18633;6
LOT02-18631;6
LOT02-18637;6
LOT02-18599;5
LOT02-18587;5
LOT02-18651;6
LOT02-18661;6
LOT02-18566;5
LOT02-18672;6
LOT02-18598;5
LOT02-18407;4
LOT02-213104;3
LOT02-18520;5
LOT02-18462;4
LOT02-18697;6
LOT02-18510;5
LOT02-18694;6
LOT02-21560;5
LOT02-45612;6
LOT02-45511;5
LOT03-456139;6
LOT03-456139;6
LOT02-18685;6
LOT02-18689;6
LOT02-18586;5
LOT02-455154;5
LOT02-451139;1
LOT02-453181;3
LOT02-455128;5
LOT02-455128;5
LOT01-34801;0
LOT01-34802;0
LOT01-34612;0
LOT01-34611;0
LOT01-34132;0
LOT01-34131;0
LOT01-34281;0
LOT01-3428;0
LOT03-21468;4
LOT03-21467;4
LOT03-21467;4
LOT03-455126;5
LOT01-34031;0
LOT02-453186;3
LOT02-453186;3
LOT03-21466;4
LOT03-21466;4
LOT03-21466;4
LOT03-216204;6
LOT03-215206;5
LOT03-215206;5
LOT01-34081;0
LOT03-45501;5
LOT03-45501;5
LOT03-45501;5
LOT03-21587;5
LOT03-21563;5
LOT03-21643;6
LOT03-456140;6
LOT03-456131;6
LOT03-456100;6
LOT03-456131;6
LOT03-456131;6
LOT03-456100;6
LOT03-456140;6
LOT03-456100;6
LOT03-21643;6
LOT03-456131;6
LOT03-21554;5
LOT03-456402;6
LOT03-456433;6
LOT03-456405;6
LOT03-45685;6
LOT03-21647;6
LOT03-21647;6
LOT03-456147;6
LOT03-456147;6
LOT03-06599;5
LOT03-06697;6
LOT03-065125;5
LOT03-065125;5
LOT03-064123;4
LOT03-064138;4
LOT03-065125;5
LOT03-064138;4
LOT03-065125;5
LOT03-065125;5
LOT03-064138;4
LOT03-064123;4
LOT03-064123;4
LOT03-064123;4
LOT03-064123;4
LOT03-064138;4
LOT03-064138;4
LOT03-065152;5
LOT03-065152;5
LOT03-065152;5
LOT03-06556;5
LOT03-065152;5
LOT03-065136;5
LOT03-065136;5
LOT03-06174;1
LOT03-06174;1
LOT03-06174;1
LOT03-06548;5
LOT03-06548;5
LOT03-21472;4
LOT03-454116;4
LOT03-21472;4
LOT03-21472;4
LOT03-455309;5
