LOT-SampleCode;Genus;Species;Family;TreeZone
LOT02-18689/O;Acronia;Acronia bivalvis;Orchidaceae;6
LOT02-18423/O;Acronia;Acronia bivalvis;Orchidaceae;4
LOT02-18596/O;Acronia;Acronia bivalvis;Orchidaceae;5
LOT02-456146/H;Acronia;Acronia bivalvis;Orchidaceae;6
LOT02-45542/P;Acronia;Acronia bivalvis;Orchidaceae;5
LOT02-45641/H;Acronia;Acronia bivalvis;Orchidaceae;6
LOT02-21510/O;Acronia;Acronia bivalvis;Orchidaceae;5
LOT02-18411/O;Acronia;Acronia cordifolia;Orchidaceae;4
LOT02-18521/O;Acronia;Acronia cordifolia;Orchidaceae;5
LOT02-18657/O;Acronia;Acronia cordifolia;Orchidaceae;6
LOT02-18654/O;Acronia;Acronia cordifolia;Orchidaceae;6
LOT02-18247/O;Acronia;Acronia cordifolia;Orchidaceae;2
LOT02-213117/O;Acronia;Acronia cordifolia;Orchidaceae;3
LOT02-18596/O;Acronia;Acronia cordifolia;Orchidaceae;5
LOT02-45539/P;Acronia;Acronia cordifolia;Orchidaceae;5
LOT02-45539/H;Acronia;Acronia cordifolia;Orchidaceae;5
LOT02-455148/P;Acronia;Acronia matudana;Orchidaceae;5
LOT02-455148/H;Acronia;Acronia matudana;Orchidaceae;5
LOT02-18513/O;Acronia;Acronia matudana;Orchidaceae;5
LOT02-455113/H;Acronia;Acronia matudana;Orchidaceae;5
LOT02-45538/P;Acronia;Acronia matudana;Orchidaceae;5
LOT02-45537/H;Acronia;Acronia matudana;Orchidaceae;5
LOT02-18689/O;Acronia;Acronia oxapampae;Orchidaceae;6
LOT02-455110/H;Acronia;Acronia oxapampae;Orchidaceae;5
LOT01-3473/H1;Acronia;Acronia phyllocardioides;Orchidaceae;0
LOT01-3473/A;Acronia;Acronia phyllocardioides;Orchidaceae;0
LOT01-3469/H1;Aechmea;Aechmea contracta;Bromeliaceae;0
LOT01-3433/H1;Aechmea;Aechmea mertensii;Bromeliaceae;0
LOT01-3433/H2;Aechmea;Aechmea mertensii;Bromeliaceae;0
LOT01-3476/H1;Aechmea;Aechmea pyramidalis;Bromeliaceae;0
LOT01-3440/H2;Aechmea;Aechmea retusa;Bromeliaceae;0
LOT01-3440/H1;Aechmea;Aechmea retusa;Bromeliaceae;0
LOT03-455113/H;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-45598/P;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-45598/H;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-45598/C;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-455112/C;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-455112/H;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-455113/C;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-455113/P;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT03-455112/P;Aechmea;Aechmea tessmannii;Bromeliaceae;5
LOT01-3432/H2;Alchornea;Alchornea glandulosa;Euphorbiaceae;0
LOT01-3432/H1;Alchornea;Alchornea glandulosa;Euphorbiaceae;0
LOT01-3401/H2;Allomarkgrafia;Allomarkgrafia tubiflora;Apocynaceae;0
LOT01-3401/H1;Allomarkgrafia;Allomarkgrafia tubiflora;Apocynaceae;0
LOT03-21649/H;Anathallis;Anathallis cf. dimidia;Orchidaceae;6
LOT03-21649/C;Anathallis;Anathallis cf. dimidia;Orchidaceae;6
LOT03-210146/C;Anathallis;Anathallis sclerophylla;Orchidaceae;0
LOT03-210146/H;Anathallis;Anathallis sclerophylla;Orchidaceae;0
LOT03-210146/P;Anathallis;Anathallis sclerophylla;Orchidaceae;0
LOT03-45574/H;Anathallis;Anathallis sclerophylla;Orchidaceae;5
LOT03-456361/O;Anathallis;Anathallis sclerophylla;Orchidaceae;6
LOT03-455345/O;Anathallis;Anathallis sclerophylla;Orchidaceae;5
LOT03-456398/O;Anathallis;Anathallis sclerophylla;Orchidaceae;6
LOT03-456367/O;Anathallis;Anathallis sclerophylla;Orchidaceae;6
LOT02-18577/O;Ancipitia;Ancipitia furcifera;Orchidaceae;5
LOT02-18478/O;Ancipitia;Ancipitia furcifera;Orchidaceae;4
LOT02-18462/O;Ancipitia;Ancipitia furcifera;Orchidaceae;4
LOT02-213118/O;Ancipitia;Ancipitia furcifera;Orchidaceae;3
LOT02-213101/O;Ancipitia;Ancipitia furcifera;Orchidaceae;3
LOT02-213103/O;Ancipitia;Ancipitia furcifera;Orchidaceae;3
LOT02-213116/O;Ancipitia;Ancipitia furcifera;Orchidaceae;3
LOT02-21368/O;Ancipitia;Ancipitia furcifera;Orchidaceae;3
LOT02-45440/P;Ancipitia;Ancipitia furcifera;Orchidaceae;4
LOT02-214136/O;Ancipitia;Ancipitia furcifera;Orchidaceae;4
LOT02-21514/O;Ancipitia;Ancipitia furcifera;Orchidaceae;5
LOT02-45456/H;Ancipitia;Ancipitia furcifera;Orchidaceae;4
