"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"LOT1_root_epiphyte vs LOT2_root_endophyte",1,11.0662465234442,36.0323828678126,0.219666277096332,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT2_old_leaf_endophyte",1,10.9213692940279,35.4219676543942,0.214130977624442,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT2_root_epiphyte",1,9.93944457010106,32.1117678326496,0.205697291616562,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT2_root_endophyte",1,10.4277892997561,32.1518722555235,0.204591086278919,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT3_old_leaf_endophyte",1,9.96631268486358,32.2678050231721,0.203881042126336,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT2_root_endophyte",1,10.2943457318323,31.589429696236,0.203030692752775,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT3_old_leaf_epiphyte",1,9.47569237353352,31.8926904793915,0.201989657548803,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT3_young_leaf_epiphyte",1,10.8727454160513,33.4647154569038,0.194038040582661,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT3_old_leaf_epiphyte",1,10.4301972431923,31.6771731577725,0.191198175065473,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT3_young_leaf_epiphyte",1,9.06236241606098,30.8549172216363,0.190633177856346,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT2_root_epiphyte",1,9.31587273565279,28.4571597634145,0.190403456137272,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT2_root_epiphyte",1,9.24521994448159,28.1016489309917,0.189745685708643,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT2_old_leaf_endophyte",1,9.51367826768443,29.1096372356142,0.18767136429696,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT2_old_leaf_endophyte",1,9.53664086469215,29.3174418680721,0.187550675840865,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT2_young_leaf_endophyte",1,8.83851782864062,27.9046223784015,0.187399302538032,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT3_young_leaf_endophyte",1,8.18917486621419,25.9247395070044,0.182665401374402,0.001,0.001,"**"
"LOT2_root_epiphyte vs LOT3_old_leaf_epiphyte",1,9.58148965921618,28.8388186900155,0.181560269258212,0.001,0.001,"**"
"LOT2_root_epiphyte vs LOT3_young_leaf_epiphyte",1,9.7747660570304,29.8338973496417,0.180993702323004,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT2_root_endophyte",1,10.2681981377942,30.0781193697493,0.178953212247583,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT3_old_leaf_endophyte",1,9.91184608979807,29.1255411245328,0.178546786258921,0.001,0.001,"**"
"LOT2_old_leaf_endophyte vs LOT3_young_leaf_epiphyte",1,9.87035683663205,30.2996433651702,0.176880948319189,0.001,0.001,"**"
"LOT2_old_leaf_endophyte vs LOT3_old_leaf_epiphyte",1,9.52612681359583,28.8592562566047,0.175053903019464,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT2_old_leaf_endophyte",1,10.5705876948871,30.8032335658508,0.17227447709723,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT3_old_leaf_endophyte",1,8.29557339506811,25.2923782768169,0.171715458550633,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT3_old_leaf_epiphyte",1,7.99318607651716,25.427086137638,0.17131028304402,0.001,0.001,"**"
"LOT2_root_epiphyte vs LOT3_old_leaf_endophyte",1,9.23359956220713,26.8706095555698,0.171291548057963,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT2_root_endophyte",1,10.2279158901045,29.3694268985699,0.170386520550725,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT3_old_leaf_epiphyte",1,7.9062389137025,25.0315373467327,0.17024604243716,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT3_old_leaf_endophyte",1,8.15909267957091,24.9976456452454,0.168905698034991,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT3_young_leaf_epiphyte",1,9.96686827713367,30.1950098314461,0.168503631099147,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT3_old_leaf_epiphyte",1,9.75061105829547,29.1651711020294,0.168424001873016,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT3_root_endophyte",1,8.59679823102011,25.8428038618985,0.166897028582273,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT3_young_leaf_epiphyte",1,7.86646612821672,25.2451316799223,0.165818974973842,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT2_young_leaf_endophyte",1,7.83569936753669,23.2546766128648,0.165803217222147,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT2_root_endophyte",1,9.89895902927914,28.8946487506622,0.165211737220478,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT3_root_endophyte",1,8.63929727686606,24.659859373277,0.163679028215335,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT2_root_epiphyte",1,9.03619603819626,26.2196439068376,0.163648122461709,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT2_young_leaf_endophyte",1,7.73301510267546,23.0687902815403,0.163528660276312,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT3_young_leaf_endophyte",1,8.39728038302441,24.0321698705444,0.162344238360897,0.001,0.001,"**"
"LOT2_old_leaf_endophyte vs LOT3_old_leaf_endophyte",1,8.97051094699996,26.3083498970736,0.162088702853284,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT3_root_endophyte",1,8.4891441273013,24.1111033172464,0.161698912963899,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT2_old_leaf_endophyte",1,9.19368843738271,26.881235670856,0.161080037325913,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT2_root_epiphyte",1,9.41534778124188,27.2364667720113,0.160937339874291,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT2_root_epiphyte",1,9.18451641996525,26.1234437166292,0.158205540828351,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT3_old_leaf_endophyte",1,9.32164196297346,27.0501698143715,0.158141730252166,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT3_young_leaf_epiphyte",1,7.39178077993548,23.8290141827215,0.156946380182934,0.001,0.001,"**"
