"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"Bromeliaceae.LOT1 vs Orchidaceae.LOT1",1,2.17346078027955,6.19654865286445,0.0259056775181871,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Araceae.LOT1",1,2.39614649558201,6.65217483220286,0.031578951594028,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Dryopteridaceae.LOT1",1,1.71060355349185,4.87183700542121,0.0416852950227455,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Orchidaceae.LOT2",1,11.0487801558314,30.5784179069197,0.137382672563102,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Dryopteridaceae.LOT2",1,4.2033560991135,11.8541783547572,0.0927163938425647,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Bromeliaceae.LOT2",1,10.7786516395059,29.191827089124,0.1251837487339,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Ericaceae.LOT2",1,3.7268619669501,10.3523701525642,0.0825861540548816,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Piperaceae.LOT2",1,1.43239268927864,4.06506008053999,0.0390626794179899,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Araceae.LOT3",1,6.08185957291291,16.5314158433557,0.0963754409772513,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Bromeliaceae.LOT3",1,8.74769780156101,23.7325709968482,0.096187426333556,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Piperaceae.LOT3",1,2.99379240197627,8.39933923562582,0.0691876849454956,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Ericaceae.LOT3",1,5.57642296470999,15.3206045040623,0.0986385840628224,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT1 vs Orchidaceae.LOT3",1,9.13494877052336,25.2600309450334,0.11680397359905,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Araceae.LOT1",1,1.38324840036368,3.86989587529668,0.0155498754145652,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Dryopteridaceae.LOT1",1,1.39338583872712,3.9910845857976,0.0254223645650172,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Orchidaceae.LOT2",1,12.7491063702618,35.5902096137405,0.132507471753802,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Dryopteridaceae.LOT2",1,4.45494054847411,12.6655226623973,0.074649949286393,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Bromeliaceae.LOT2",1,12.8992012827916,35.344419173374,0.126074987608424,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Ericaceae.LOT2",1,3.84979409821919,10.8228707805278,0.0648764209001439,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Piperaceae.LOT2",1,1.40731089822125,4.02274507070988,0.0277387182869037,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Araceae.LOT3",1,6.47042297612202,17.8332342449564,0.0833978605239988,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Bromeliaceae.LOT3",1,10.3401249350597,28.3505493956789,0.096974503568687,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Piperaceae.LOT3",1,2.9185084499473,8.2669182001074,0.0509464177406306,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Ericaceae.LOT3",1,5.74759659289046,15.9930362131943,0.0811857947906645,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT1 vs Orchidaceae.LOT3",1,9.45199905153078,26.3682310007775,0.102056784994972,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Dryopteridaceae.LOT1",1,1.4149935942431,3.88421878343748,0.0303729328011545,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Orchidaceae.LOT2",1,10.877466313495,29.4996246731861,0.126336925442492,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Dryopteridaceae.LOT2",1,4.0737518207568,11.0994166441126,0.0797948468217562,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Bromeliaceae.LOT2",1,10.845525619951,28.8605506457319,0.117865252567727,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Ericaceae.LOT2",1,3.53165533198818,9.4931164769173,0.0695501481829137,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Piperaceae.LOT2",1,1.32653989357766,3.61635507086035,0.0312789230264517,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Araceae.LOT3",1,5.62560008193547,14.9429403988885,0.0821298169971742,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Bromeliaceae.LOT3",1,8.78668826618942,23.4528873648916,0.0907433753362566,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Piperaceae.LOT3",1,2.7166832061053,7.36250904597669,0.0556238250471611,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Ericaceae.LOT3",1,5.30196544019269,14.1872939198897,0.0853693058310982,0.001,0.00110975609756098,"*"
"Araceae.LOT1 vs Orchidaceae.LOT3",1,8.65987051921891,23.4646116074371,0.10361270770248,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Orchidaceae.LOT2",1,3.76283257256863,10.2626567650862,0.0839394221966295,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Dryopteridaceae.LOT2",1,2.55568895718387,7.17510233401614,0.16618611065487,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Bromeliaceae.LOT2",1,3.64558121752147,9.61516198135747,0.0719616085388499,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Ericaceae.LOT2",1,2.333960865243,6.24024662394958,0.151314483660863,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Piperaceae.LOT2",1,1.29908226376258,3.75066829980548,0.157918432124127,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Araceae.LOT3",1,2.56197484498473,6.69166154335223,0.0819136423097613,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Bromeliaceae.LOT3",1,2.86790903188652,7.6105581462266,0.0505313720359337,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Piperaceae.LOT3",1,1.96515696078053,5.41894073975255,0.141048676392723,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Ericaceae.LOT3",1,2.58252398649438,6.84173313750229,0.102357207336739,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Orchidaceae.LOT3",1,3.10858792538944,8.4648474113595,0.0708563865838463,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Dryopteridaceae.LOT2",1,0.922210902275861,2.49526063919431,0.0210578940097201,0.002,0.00211627906976744,"*"
"Orchidaceae.LOT2 vs Bromeliaceae.LOT2",1,2.00723087049838,5.31347115258029,0.0253852326050577,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Ericaceae.LOT2",1,0.78207260755694,2.08481711882612,0.0178060415528539,0.002,0.00211627906976744,"*"
"Orchidaceae.LOT2 vs Piperaceae.LOT2",1,0.711038285575053,1.92295796826131,0.0188667794439416,0.003,0.00310227272727273,"*"
"Orchidaceae.LOT2 vs Araceae.LOT3",1,6.57513832585425,17.3431488624657,0.100631495809015,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Bromeliaceae.LOT3",1,9.75440011088894,25.9152977785288,0.104112917164243,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Piperaceae.LOT3",1,3.25547525683416,8.75536188793465,0.0719094564064719,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Ericaceae.LOT3",1,5.80757284336568,15.4289496237561,0.0992668975831381,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Orchidaceae.LOT3",1,9.22430576158928,24.8805082539183,0.11525129552064,0.001,0.00110975609756098,"*"
