"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"Bromeliaceae vs Orchidaceae",1,3.13305572797031,7.34229913758008,0.0109530595742298,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Araceae",1,4.18154484983358,9.90170875611832,0.0193808487746612,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Cyclanthaceae",1,2.20955870924277,5.19166805178703,0.0143737204121847,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Gesneriaceae",1,1.86799481446316,4.37841655199844,0.0123901640477077,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Dryopteridaceae",1,1.71233466499178,3.99833210415303,0.0106907752279482,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Polypodiaceae",1,1.70190721430704,3.99292079139329,0.0115072111047296,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Ericaceae",1,2.02520482128298,4.72341510746705,0.0117578785050492,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Piperaceae",1,1.27581642578885,2.97752735824233,0.00831763764674142,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Lauraceae",1,1.06580761683529,2.48915767746326,0.00735372942088476,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Clusiaceae",1,1.33770607737403,3.12714624487481,0.0090086479225362,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Rubiaceae",1,2.05869681990407,4.83407263540186,0.0132864758937684,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Primulaceae",1,0.827382013594105,1.9294386763728,0.00569274443644632,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Melastomataceae",1,1.08840698226181,2.54275250296474,0.00740156060472501,0.001,0.00122093023255814,"*"
"Bromeliaceae vs Araliaceae",1,0.92696774504722,2.1616391793828,0.00635474118891714,0.001,0.00122093023255814,"*"
"Orchidaceae vs Araceae",1,3.17765857297679,7.59604337989807,0.0150239375472931,0.001,0.00122093023255814,"*"
"Orchidaceae vs Cyclanthaceae",1,1.75849068363435,4.18670525155856,0.0117213356208484,0.001,0.00122093023255814,"*"
"Orchidaceae vs Gesneriaceae",1,1.60105849467392,3.80340548195467,0.0108729801435592,0.001,0.00122093023255814,"*"
"Orchidaceae vs Dryopteridaceae",1,1.64786461213,3.89642022732091,0.0105054134114662,0.001,0.00122093023255814,"*"
"Orchidaceae vs Polypodiaceae",1,1.83434715514375,4.36287961312564,0.0126694248172948,0.001,0.00122093023255814,"*"
"Orchidaceae vs Ericaceae",1,2.51642933550076,5.93800026896486,0.0148473019942378,0.001,0.00122093023255814,"*"
"Orchidaceae vs Piperaceae",1,1.58848014362431,3.75605979169553,0.0105579643362781,0.001,0.00122093023255814,"*"
"Orchidaceae vs Lauraceae",1,1.11403346782525,2.63808351769223,0.00785990519920595,0.001,0.00122093023255814,"*"
"Orchidaceae vs Clusiaceae",1,1.4307313277375,3.39023272088517,0.0098441604864933,0.001,0.00122093023255814,"*"
"Orchidaceae vs Rubiaceae",1,2.4445079720629,5.8155190070195,0.0160731607725944,0.001,0.00122093023255814,"*"
"Orchidaceae vs Primulaceae",1,0.872745428619005,2.06346042359284,0.00614009157970327,0.001,0.00122093023255814,"*"
"Orchidaceae vs Melastomataceae",1,1.20960322227662,2.86474500489637,0.00840434526267953,0.001,0.00122093023255814,"*"
"Orchidaceae vs Araliaceae",1,0.983458319495085,2.32509159445466,0.00689273241864254,0.001,0.00122093023255814,"*"
"Araceae vs Cyclanthaceae",1,1.08569003913913,2.69551025245903,0.0139162247433911,0.001,0.00122093023255814,"*"
"Araceae vs Gesneriaceae",1,1.11459860980837,2.75971588342168,0.0147768263105751,0.001,0.00122093023255814,"*"
"Araceae vs Dryopteridaceae",1,2.4594525344885,6.011186649264,0.0284875259208679,0.001,0.00122093023255814,"*"
"Araceae vs Polypodiaceae",1,2.60167327742916,6.46647691422139,0.0350550247524289,0.001,0.00122093023255814,"*"
"Araceae vs Ericaceae",1,3.55290781703322,8.6189595859571,0.0358199520137071,0.001,0.00122093023255814,"*"
"Araceae vs Piperaceae",1,1.74013823035515,4.26455274981446,0.0219522948960565,0.001,0.00122093023255814,"*"
"Araceae vs Lauraceae",1,1.30408895004988,3.21851451037083,0.0184740096046408,0.001,0.00122093023255814,"*"
"Araceae vs Clusiaceae",1,1.43669364677286,3.54365199477585,0.0194126279169503,0.001,0.00122093023255814,"*"
"Araceae vs Rubiaceae",1,2.24101951155408,5.5520380038291,0.0278225071483487,0.001,0.00122093023255814,"*"
"Araceae vs Primulaceae",1,0.900144474453266,2.21398973973542,0.0127084497808872,0.001,0.00122093023255814,"*"
"Araceae vs Melastomataceae",1,1.21209759135415,2.98862015068496,0.0166972634805997,0.001,0.00122093023255814,"*"
"Araceae vs Araliaceae",1,1.01753436357556,2.50185472711222,0.0142554318357624,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Gesneriaceae",1,0.855702810241511,2.3416298608149,0.0566409662294032,0.002,0.00235955056179775,"*"
