"Resultat","Assemblage","Order.q","Method","Shadow_Min","Shadow_Mean","Shadow_Max"
"res_endo","old_leaf","Richness (q=0)","Extrapolation",13.831,17.015,20.28
"res_endo","old_leaf","Richness (q=0)","Observed",13.763,13.763,13.763
"res_endo","old_leaf","Richness (q=0)","Rarefaction",0.003,13.29,15.466
"res_endo","old_leaf","Shannon (q=1)","Extrapolation",0.662,0.662,0.662
"res_endo","old_leaf","Shannon (q=1)","Observed",0.662,0.662,0.662
"res_endo","old_leaf","Shannon (q=1)","Rarefaction",0.005,0.63,0.662
"res_endo","old_leaf","Simpson (q=2)","Extrapolation",0.249,0.249,0.249
"res_endo","old_leaf","Simpson (q=2)","Observed",0.249,0.249,0.249
"res_endo","old_leaf","Simpson (q=2)","Rarefaction",0.007,0.237,0.249
"res_endo","root","Richness (q=0)","Extrapolation",19.564,22.413,25.552
"res_endo","root","Richness (q=0)","Observed",19.564,19.564,19.564
"res_endo","root","Richness (q=0)","Rarefaction",0.001,14.475,19.209
"res_endo","root","Shannon (q=1)","Extrapolation",1.048,1.048,1.049
"res_endo","root","Shannon (q=1)","Observed",1.048,1.048,1.048
"res_endo","root","Shannon (q=1)","Rarefaction",0.001,1.007,1.048
"res_endo","root","Simpson (q=2)","Extrapolation",0.62,0.62,0.62
"res_endo","root","Simpson (q=2)","Observed",0.62,0.62,0.62
"res_endo","root","Simpson (q=2)","Rarefaction",0.002,0.597,0.62
"res_endo","young_leaf","Richness (q=0)","Extrapolation",12.088,19.808,24.633
"res_endo","young_leaf","Richness (q=0)","Observed",11.932,11.932,11.932
"res_endo","young_leaf","Richness (q=0)","Rarefaction",0.005,10.653,12.587
"res_endo","young_leaf","Shannon (q=1)","Extrapolation",0.981,0.982,0.982
"res_endo","young_leaf","Shannon (q=1)","Observed",0.981,0.981,0.981
"res_endo","young_leaf","Shannon (q=1)","Rarefaction",0.007,0.911,0.981
"res_endo","young_leaf","Simpson (q=2)","Extrapolation",0.318,0.318,0.318
"res_endo","young_leaf","Simpson (q=2)","Observed",0.318,0.318,0.318
"res_endo","young_leaf","Simpson (q=2)","Rarefaction",0.01,0.296,0.318
"res_epi","old_leaf","Richness (q=0)","Extrapolation",9.642,16.052,18.642
"res_epi","old_leaf","Richness (q=0)","Observed",9.171,9.171,9.171
