""	"old_leaf"	"root"	"young_leaf"
"1"	827	52	661
"2"	0	31	2
"3"	161	3244	189
"4"	0	68	15
"5"	18	17	68
"6"	0	46	0
"7"	0	811	0
"8"	0	31	3
"9"	17	49	42
"10"	0	125	0
"11"	3790	0	0
"12"	0	189	0
"13"	5	9	9
"14"	2	200	4
"15"	2	7	21
"16"	43	8	28
"17"	165	9	57
"18"	25	386	205
"19"	0	0	0
"20"	28	51	40
"21"	647	2	872
"22"	205	323	504
"23"	0	0	0
"24"	0	3	0
"25"	21	1016	14
"26"	11	49	28
"27"	4	276	16
"28"	493	99	472
"29"	87	43	55
"30"	0	3	0
"31"	0	311	0
"32"	0	76	4
"33"	203	0	76
"34"	93	67	581
"35"	24	2161	61
"36"	40	40	116
"37"	11	0	156
"38"	20	5	536
"39"	0	0	0
"40"	0	264	0
"41"	239	15	7
"42"	18	0	532
"43"	4	699	7
"44"	0	2605	0
"45"	100	3	109
"46"	11	119	14
"47"	2	424	13
"48"	4	2	21
"49"	0	98	0
"50"	69	0	5
"51"	23	10	16
"52"	10	33	33
"53"	3	232	7
"54"	15	78	40
"55"	0	0	0
"56"	0	85	0
"57"	64	10630	160
"58"	10070	11105	21458
"59"	11	9	707
"60"	0	4	0
"61"	127	12	10
"62"	8	2815	2
"63"	67424	172	15989
"64"	112	95	83
"65"	0	1847	0
"66"	0	197	0
"67"	0	0	95
"68"	0	135	0
"69"	0	2	3
"70"	0	0	0
"71"	17	8	25
"72"	5	15	115
"73"	0	4	0
"74"	10	20	61
"75"	951	953	1345
"76"	46	240	193
"77"	4	1577	5
"78"	0	101	3
"79"	8	945	187
"80"	141	44	45
"81"	0	0	0
"82"	0	0	0
"83"	2	52	6
"84"	2	0	124
"85"	0	8	0
"86"	3	683	8
"87"	219	3	0
"88"	149	5	108
"89"	244	4077	1117
"90"	0	77	4
"91"	6	987	149
"92"	4	65	0
"93"	5	251	38
"94"	67	3	24
"95"	4	134	0
"96"	363	44	38
"97"	0	11	0
"98"	6	104	29
"99"	4	572	0
"100"	0	190	0
"101"	4	0	166
"102"	0	133	0
"103"	145	0	15
"104"	0	172	0
"105"	136	27	200
"106"	16	30	73
"107"	0	0	0
"108"	74	37	6
"109"	113	8	114
"110"	240	2	18
"111"	0	100	0
"112"	361	1297	382
"113"	0	147	5
"114"	0	1212	0
"115"	2	9	0
"116"	12	82	74
"117"	222	0	8
"118"	0	291	2
"119"	60	246	4835
"120"	5	795	47
"121"	36	53	16
"122"	237	109	339
"123"	0	23	0
"124"	0	94	0
"125"	653	30	87
"126"	0	63	0
"127"	304	15	16
"128"	24	29	7
"129"	0	82	0
"130"	47	1680	32
"131"	10	315	10
"132"	4	154	0
"133"	0	108	6
"134"	51	875	48
"135"	2	75	2
"136"	2831	48	452
"137"	38	43	127
"138"	12	339	19
"139"	0	0	0
"140"	6	60	20
"141"	0	0	0
"142"	54	17	127
"143"	0	70	0
"144"	2698	25	8
"145"	1734	7	352
"146"	4	1409	49
"147"	86	1540	80
"148"	100	58	48
"149"	0	181	15
"150"	11	19	0
"151"	0	1044	0
"152"	0	0	0
"153"	0	175	0
