T_ZONE1;T_ZONE2;T_ZONE3;T_ZONE4;T_ZONE5;T_ZONE6;H_ZONE1;H_ZONE2;H_ZONE3;H_ZONE4;H_ZONE5;H_ZONE6
24,204;22,619;22,53;22,385;22,398;22,416;80,50;95,70;97,10;96,95;96,45;96,45
24,175;22,566;22,469;22,451;22,342;22,367;80,80;96,90;97,75;96,65;96,75;96,77
24,148;22,591;22,373;22,316;22,164;22,109;80,80;97,20;98,37;97,57;98,00;98,65
24,115;22,437;22,339;22,222;22,173;22,099;80,80;96,90;98,37;98,20;97,67;98,65
24,088;22,376;22,339;22,24;22,182;22,149;80,80;96,90;98,07;97,87;97,67;98,02
24,061;22,378;22,3;22,218;22,152;22,137;80,80;96,90;98,37;97,57;97,67;98,02
24,034;22,488;22,278;22,167;22,111;22,036;81,10;97,50;98,70;98,20;98,00;98,65
24,005;22,334;22,266;22,129;22,109;22,036;81,10;96,90;99,02;98,50;97,67;98,65
23,975;22,364;22,291;22,193;22,142;22,169;81,10;97,20;98,37;97,87;97,67;97,70
23,945;22,436;22,325;22,21;22,12;22,115;81,10;96,00;98,07;97,57;97,67;98,02
23,916;22,497;22,291;22,188;22,111;22,146;81,10;97,50;98,37;97,87;98,00;97,70
23,896;22,307;22,24;22,137;22,109;22,087;81,40;97,50;98,70;98,20;98,00;98,35
23,878;22,401;22,205;22,106;22,073;22,015;81,40;97,20;99,02;98,50;98,00;98,65
23,851;22,364;22,158;22,047;22,009;21,936;81,40;96,90;99,02;98,82;98,30;98,97
23,832;22,23;22,158;22,044;22;21,981;81,40;97,50;99,35;98,50;98,30;98,97
23,814;22,279;22,166;22,047;21,966;21,962;81,40;96,90;99,02;98,50;98,60;98,97
23,797;22,376;22,175;22,045;21,98;21,947;81,70;97,80;99,35;98,50;98,60;98,97
23,78;22,282;22,185;22,05;22,008;21,993;81,70;96,90;98,70;98,50;98,30;98,97
23,749;22,306;22,149;22,099;21,965;21,93;81,70;97,80;99,02;98,20;98,60;98,97
23,728;22,345;22,072;22,023;21,956;21,872;81,70;97,50;99,67;98,82;98,60;99,60
23,708;22,261;22,064;21,85;21,956;21,835;81,70;97,80;99,97;100,00;98,60;99,92
23,689;21,893;22,021;22,081;21,872;22,134;81,70;99,60;99,97;98,50;99,85;98,35
23,666;21,758;21,733;21,767;21,566;21,884;82,00;100,00;100,00;100,00;100,00;99,60
23,646;21,871;21,756;21,596;21,523;21,562;82,00;100,00;100,00;100,00;100,00;100,00
23,63;21,826;21,741;21,64;21,524;21,569;82,00;100,00;100,00;100,00;100,00;100,00
23,609;21,807;21,756;21,611;21,596;21,596;82,00;100,00;100,00;100,00;100,00;100,00
23,597;21,831;21,904;21,636;21,614;21,596;82,00;100,00;100,00;100,00;100,00;100,00
23,574;21,868;21,996;21,71;21,63;21,626;82,30;100,00;100,00;100,00;100,00;100,00
23,567;21,823;21,852;21,654;21,612;21,596;82,30;100,00;100,00;100,00;100,00;100,00
23,553;21,724;21,881;21,582;21,575;21,568;82,30;100,00;100,00;100,00;100,00;100,00
23,538;21,7;21,913;21,575;21,582;21,569;82,30;100,00;100,00;100,00;100,00;100,00
23,525;21,727;21,739;21,603;21,584;21,594;82,30;100,00;100,00;100,00;100,00;100,00
23,516;21,822;21,901;21,596;21,602;21,581;82,30;100,00;100,00;100,00;100,00;100,00
23,495;21,994;21,962;21,62;21,548;21,559;82,62;100,00;100,00;100,00;100,00;100,00
23,471;21,899;21,954;21,605;21,413;21,459;82,62;100,00;100,00;100,00;100,00;100,00
23,447;21,523;21,841;21,375;21,241;21,281;82,62;100,00;100,00;100,00;100,00;100,00
