	Ascomycota	Basidiomycota	Chytridiomycota	Mucoromycota	Zoopagomycota	NA
A01426:1224:HWCKFDRX5:1:2101:10050:8844_CONS_SUB_SUB_CMP	354	474	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:10059:25457_CONS_SUB_SUB	347	3	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:10086:17049_CONS_SUB_SUB	417	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:10095:14591_CONS_SUB_SUB_CMP	322	11	0	4	0	0
A01426:1224:HWCKFDRX5:1:2101:10113:1376_CONS_SUB_SUB_CMP	880	232	0	0	0	12
A01426:1224:HWCKFDRX5:1:2101:10122:16548_CONS_SUB_SUB_CMP	864	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:10203:24737_CONS_SUB_SUB_CMP	22	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:10375:35556_CONS_SUB_SUB	189	73	0	3	0	0
A01426:1224:HWCKFDRX5:1:2101:10456:4006_CONS_SUB_SUB_CMP	1312	6	0	44	0	0
A01426:1224:HWCKFDRX5:1:2101:10474:13902_CONS_SUB_SUB	251	25	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:10474:22764_CONS_SUB_SUB	82	10	0	4	0	0
A01426:1224:HWCKFDRX5:1:2101:10493:16407_CONS_SUB_SUB	1484	96	0	3	0	0
A01426:1224:HWCKFDRX5:1:2101:10511:32503_CONS_SUB_SUB	373	99	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:10538:31579_CONS_SUB_SUB	4211	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:10574:2018_CONS_SUB_SUB_CMP	250	75	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:10881:23876_CONS_SUB_SUB	810	17	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11180:9142_CONS_SUB_SUB	684	39	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11252:20165_CONS_SUB_SUB_CMP	223	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11288:15624_CONS_SUB_SUB_CMP	1320	117	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11324:35352_CONS_SUB_SUB_CMP	1176	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11360:3098_CONS_SUB_SUB_CMP	219	42	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11369:9471_CONS_SUB_SUB_CMP	314	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11424:10786_CONS_SUB_SUB	151	27	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11424:7999_CONS_SUB_SUB	397	87	3	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1145:23547_CONS_SUB_SUB_CMP	41	37	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11460:22091_CONS_SUB_SUB	23	3	0	17	0	0
A01426:1224:HWCKFDRX5:1:2101:11614:27242_CONS_SUB_SUB_CMP	24336	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11794:2597_CONS_SUB_SUB	84	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11867:11303_CONS_SUB_SUB_CMP	110	38	0	0	0	15
A01426:1224:HWCKFDRX5:1:2101:11948:31829_CONS_SUB_SUB	121	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:11984:23844_CONS_SUB_SUB_CMP	428	1	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:12002:2394_CONS_SUB_SUB_CMP	632	98	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:12129:21559_CONS_SUB_SUB	297	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:12183:4429_CONS_SUB_SUB_CMP	193	19	0	0	0	4
A01426:1224:HWCKFDRX5:1:2101:12292:4805_CONS_SUB_SUB	129	31	0	3	0	3
A01426:1224:HWCKFDRX5:1:2101:12301:2315_CONS_SUB_SUB_CMP	128	32	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:12418:11475_CONS_SUB_SUB_CMP	2946	2743	0	0	0	54
A01426:1224:HWCKFDRX5:1:2101:12527:7623_CONS_SUB_SUB	419	76	0	0	0	43
A01426:1224:HWCKFDRX5:1:2101:12753:32941_CONS_SUB_SUB	3395	37	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:12807:3912_CONS_SUB_SUB_CMP	101	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1280:10504_CONS_SUB_SUB_CMP	162	84	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:1280:14669_CONS_SUB_SUB_CMP	405	13	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1289:7169_CONS_SUB_SUB_CMP	371	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:12933:23234_CONS_SUB_SUB	184	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:12943:11350_CONS_SUB_SUB	56	345	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13015:4930_CONS_SUB_SUB	360	930	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13051:22122_CONS_SUB_SUB_CMP	289	111	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13078:29528_CONS_SUB_SUB	103	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13141:9377_CONS_SUB_SUB_CMP	690	48	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1316:3270_CONS_SUB_SUB_CMP	215	12	0	8	0	0
A01426:1224:HWCKFDRX5:1:2101:13187:5541_CONS_SUB_SUB	1595	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13241:5165_CONS_SUB_SUB_CMP	189	55	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1325:31501_CONS_SUB_SUB	236	28	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13277:7420_CONS_SUB_SUB_CMP	2161	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13286:1235_CONS_SUB_SUB_CMP	115	129	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13304:8970_CONS_SUB_SUB	363	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13313:2221_CONS_SUB_SUB	133	0	0	823	0	0
A01426:1224:HWCKFDRX5:1:2101:13322:4742_CONS_SUB_SUB_CMP	1107	684	0	1	0	0
A01426:1224:HWCKFDRX5:1:2101:13630:21934_CONS_SUB_SUB	232	29	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13666:32268_CONS_SUB_SUB	58	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13675:7451_CONS_SUB_SUB	242	20	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1371:11287_CONS_SUB_SUB	70	44	0	0	0	0
